device,packet_window,total_bytes,avg_packet_size,max_packet_size,min_packet_size,tcp_ratio,unique_dest_ports,unique_dest_ips,device_type
00:16:6c:ab:6b:88,0,380111,380.111,1236,66,0.351,41,5,IoT
00:16:6c:ab:6b:88,1,376089,376.089,1236,66,0.393,48,3,IoT
00:16:6c:ab:6b:88,2,378332,378.332,1236,66,0.372,43,3,IoT
00:16:6c:ab:6b:88,3,379064,379.064,1236,66,0.372,44,3,IoT
00:16:6c:ab:6b:88,4,377745,377.745,1236,66,0.375,43,3,IoT
00:16:6c:ab:6b:88,5,373119,373.119,1236,66,0.371,43,7,IoT
00:16:6c:ab:6b:88,6,379693,379.693,1236,66,0.361,41,3,IoT
00:16:6c:ab:6b:88,7,368400,368.4,1236,66,0.39,46,7,IoT
00:16:6c:ab:6b:88,8,375194,375.194,1236,66,0.388,51,5,IoT
00:16:6c:ab:6b:88,9,374614,374.614,1236,66,0.378,46,6,IoT
00:16:6c:ab:6b:88,10,349903,349.903,1236,66,0.409,35,7,IoT
00:16:6c:ab:6b:88,11,364843,364.843,1236,66,0.377,39,9,IoT
00:16:6c:ab:6b:88,12,359934,359.934,1236,66,0.386,40,9,IoT
00:16:6c:ab:6b:88,13,372731,372.731,1236,66,0.377,44,6,IoT
00:16:6c:ab:6b:88,14,364392,364.392,1236,66,0.372,37,9,IoT
00:16:6c:ab:6b:88,15,368288,368.288,1236,66,0.38,43,8,IoT
00:16:6c:ab:6b:88,16,338107,338.107,1236,44,0.414,44,16,IoT
00:16:6c:ab:6b:88,17,328505,328.505,1236,44,0.333,43,8,IoT
00:16:6c:ab:6b:88,18,366049,366.049,1236,44,0.371,40,8,IoT
00:16:6c:ab:6b:88,19,368222,368.222,1236,66,0.378,41,8,IoT
00:16:6c:ab:6b:88,20,362100,362.1,1236,66,0.382,39,11,IoT
00:16:6c:ab:6b:88,21,340923,340.923,1236,66,0.423,41,10,IoT
00:16:6c:ab:6b:88,22,357212,357.212,1236,66,0.368,31,13,IoT
00:16:6c:ab:6b:88,23,375494,375.494,1236,66,0.378,47,6,IoT
00:16:6c:ab:6b:88,24,377075,377.075,1236,66,0.379,46,3,IoT
00:16:6c:ab:6b:88,25,379069,379.069,1236,66,0.361,44,5,IoT
00:16:6c:ab:6b:88,26,379434,379.434,1236,66,0.366,42,3,IoT
00:16:6c:ab:6b:88,27,378148,378.148,1236,66,0.374,43,3,IoT
00:16:6c:ab:6b:88,28,374024,374.024,1236,66,0.368,42,6,IoT
00:16:6c:ab:6b:88,29,352985,352.985,1236,66,0.391,38,11,IoT
00:16:6c:ab:6b:88,30,332217,332.217,1236,66,0.441,41,14,IoT
00:16:6c:ab:6b:88,31,350880,350.88,1236,66,0.402,40,12,IoT
00:16:6c:ab:6b:88,32,353084,353.084,1236,66,0.406,43,10,IoT
00:16:6c:ab:6b:88,33,380957,380.957,1236,66,0.355,38,3,IoT
00:16:6c:ab:6b:88,34,369482,369.482,1236,66,0.384,48,8,IoT
00:16:6c:ab:6b:88,35,343891,343.891,1236,66,0.415,40,13,IoT
00:16:6c:ab:6b:88,36,366039,366.039,1236,66,0.395,46,8,IoT
00:16:6c:ab:6b:88,37,380409,380.409,1236,66,0.359,40,3,IoT
00:16:6c:ab:6b:88,38,368090,368.09,1236,66,0.366,38,8,IoT
00:16:6c:ab:6b:88,39,337611,337.611,1236,66,0.435,46,12,IoT
00:16:6c:ab:6b:88,40,348608,348.608,1236,66,0.424,45,9,IoT
00:16:6c:ab:6b:88,41,345300,345.3,1236,66,0.408,38,11,IoT
00:16:6c:ab:6b:88,42,366887,366.887,1236,66,0.391,46,8,IoT
00:16:6c:ab:6b:88,43,369542,369.542,1236,66,0.38,44,7,IoT
00:16:6c:ab:6b:88,44,344263,344.263,1236,66,0.411,42,13,IoT
00:16:6c:ab:6b:88,45,367606,367.606,1236,66,0.402,50,7,IoT
00:16:6c:ab:6b:88,46,380263,380.263,1236,66,0.369,43,3,IoT
00:16:6c:ab:6b:88,47,380116,380.116,1236,66,0.362,41,3,IoT
00:16:6c:ab:6b:88,48,329115,329.115,1236,44,0.341,46,11,IoT
00:16:6c:ab:6b:88,49,370304,370.304,1236,44,0.357,41,4,IoT
00:16:6c:ab:6b:88,50,376701,376.701,1236,66,0.387,48,3,IoT
00:16:6c:ab:6b:88,51,379729,379.729,1236,66,0.365,42,3,IoT
00:16:6c:ab:6b:88,52,379434,379.434,1236,66,0.366,42,3,IoT
00:16:6c:ab:6b:88,53,377022,377.022,1236,66,0.38,45,3,IoT
00:16:6c:ab:6b:88,54,378674,378.674,1236,66,0.368,43,3,IoT
00:16:6c:ab:6b:88,55,374112,374.112,1236,66,0.386,50,6,IoT
00:16:6c:ab:6b:88,56,376647,376.647,1236,66,0.383,48,3,IoT
00:16:6c:ab:6b:88,57,378888,378.888,1236,66,0.358,42,5,IoT
00:16:6c:ab:6b:88,58,372764,372.764,1236,66,0.394,50,6,IoT
00:16:6c:ab:6b:88,59,373076,373.076,1236,66,0.376,44,6,IoT
00:16:6c:ab:6b:88,60,369714,369.714,1236,66,0.374,42,8,IoT
00:16:6c:ab:6b:88,61,377056,377.056,1236,66,0.376,44,3,IoT
00:16:6c:ab:6b:88,62,369021,369.021,1236,66,0.381,42,8,IoT
00:16:6c:ab:6b:88,63,375881,375.881,1236,66,0.369,44,6,IoT
00:16:6c:ab:6b:88,64,377833,377.833,1236,66,0.373,44,3,IoT
00:16:6c:ab:6b:88,65,376880,376.88,1236,66,0.378,48,5,IoT
00:16:6c:ab:6b:88,66,371787,371.787,1236,66,0.357,36,8,IoT
00:16:6c:ab:6b:88,67,336096,336.096,1236,66,0.424,43,10,IoT
00:16:6c:ab:6b:88,68,366509,366.509,1236,66,0.397,48,8,IoT
00:16:6c:ab:6b:88,69,371544,371.544,1236,66,0.378,44,7,IoT
00:16:6c:ab:6b:88,70,378826,378.826,1236,66,0.368,42,3,IoT
00:16:6c:ab:6b:88,71,373579,373.579,1236,66,0.361,39,7,IoT
00:16:6c:ab:6b:88,72,328873,328.873,1236,66,0.439,40,13,IoT
00:16:6c:ab:6b:88,73,360193,360.193,1236,66,0.405,46,9,IoT
00:16:6c:ab:6b:88,74,336113,336.113,1236,66,0.421,41,14,IoT
00:16:6c:ab:6b:88,75,376087,376.087,1236,66,0.389,48,3,IoT
00:16:6c:ab:6b:88,76,380710,380.71,1236,66,0.358,37,3,IoT
00:16:6c:ab:6b:88,77,343891,343.891,1236,66,0.431,45,10,IoT
00:16:6c:ab:6b:88,78,342352,342.352,1236,66,0.402,36,10,IoT
00:16:6c:ab:6b:88,79,327847,327.847,1236,66,0.449,41,13,IoT
00:16:6c:ab:6b:88,80,375492,375.492,1236,66,0.366,42,6,IoT
00:16:6c:ab:6b:88,81,378292,378.292,1236,66,0.372,42,3,IoT
00:16:6c:ab:6b:88,82,371203,371.203,1236,66,0.379,45,7,IoT
00:16:6c:ab:6b:88,83,279831,279.831,1236,66,0.507,32,11,IoT
00:16:6c:ab:6b:88,84,226491,226.491,1236,66,0.573,26,12,IoT
00:16:6c:ab:6b:88,85,272489,272.489,1236,66,0.521,32,13,IoT
00:16:6c:ab:6b:88,86,275175,275.175,1236,66,0.519,33,11,IoT
00:16:6c:ab:6b:88,87,271470,271.47,1236,66,0.506,27,12,IoT
00:16:6c:ab:6b:88,88,321110,321.11,1236,66,0.436,35,11,IoT
00:16:6c:ab:6b:88,89,291393,291.393,1236,66,0.483,32,12,IoT
00:16:6c:ab:6b:88,90,364072,364.072,1236,66,0.39,44,8,IoT
00:16:6c:ab:6b:88,91,369879,369.879,1236,66,0.381,44,7,IoT
00:16:6c:ab:6b:88,92,374354,374.354,1236,66,0.358,38,6,IoT
00:16:6c:ab:6b:88,93,336741,336.741,1236,66,0.393,44,15,IoT
00:16:6c:ab:6b:88,94,335719,335.719,1236,66,0.389,38,16,IoT
00:16:6c:ab:6b:88,95,313647,313.647,1236,66,0.449,37,14,IoT
00:16:6c:ab:6b:88,96,308645,308.645,1236,66,0.453,35,18,IoT
00:16:6c:ab:6b:88,97,343900,343.9,1236,66,0.42,44,11,IoT
00:16:6c:ab:6b:88,98,370715,370.715,1236,66,0.389,46,8,IoT
00:16:6c:ab:6b:88,99,358210,358.21,1236,54,0.396,43,10,IoT
00:16:6c:ab:6b:88,100,368222,368.222,1236,66,0.281,42,8,IoT
00:16:6c:ab:6b:88,101,355511,355.511,1236,66,0.38,45,11,IoT
00:16:6c:ab:6b:88,102,348747,348.747,1236,66,0.411,41,12,IoT
00:16:6c:ab:6b:88,103,332542,332.542,1236,66,0.434,42,12,IoT
00:16:6c:ab:6b:88,104,349389,349.389,1236,66,0.419,49,13,IoT
00:16:6c:ab:6b:88,105,382142,382.142,1236,66,0.35,38,3,IoT
00:16:6c:ab:6b:88,106,379434,379.434,1236,66,0.366,42,3,IoT
00:16:6c:ab:6b:88,107,377524,377.524,1236,66,0.37,45,3,IoT
00:16:6c:ab:6b:88,108,356730,356.73,1236,66,0.426,52,7,IoT
00:16:6c:ab:6b:88,109,357918,357.918,1236,66,0.406,46,9,IoT
00:16:6c:ab:6b:88,110,376288,376.288,1236,66,0.386,33,3,IoT
00:16:6c:ab:6b:88,111,382666,382.666,1236,66,0.348,21,3,IoT
00:16:6c:ab:6b:88,112,378048,378.048,1236,66,0.372,27,3,IoT
00:16:6c:ab:6b:88,113,378382,378.382,1236,66,0.374,25,3,IoT
00:16:6c:ab:6b:88,114,377634,377.634,1236,66,0.378,22,3,IoT
00:16:6c:ab:6b:88,115,363446,363.446,1236,66,0.396,26,7,IoT
00:16:6c:ab:6b:88,116,355579,355.579,1236,66,0.393,26,8,IoT
00:16:6c:ab:6b:88,117,333819,333.819,1236,66,0.425,22,9,IoT
00:16:6c:ab:6b:88,118,347831,347.831,1236,66,0.409,23,9,IoT
00:16:6c:ab:6b:88,119,344713,344.713,1236,66,0.395,20,9,IoT
00:16:6c:ab:6b:88,120,371194,371.194,1236,66,0.38,28,6,IoT
00:16:6c:ab:6b:88,121,377270,377.27,1236,66,0.386,27,3,IoT
00:16:6c:ab:6b:88,122,366496,366.496,1236,66,0.386,25,6,IoT
00:16:6c:ab:6b:88,123,370118,370.118,1236,66,0.384,26,6,IoT
00:16:6c:ab:6b:88,124,335138,335.138,1236,66,0.41,20,10,IoT
00:16:6c:ab:6b:88,125,308048,308.048,1236,66,0.486,25,12,IoT
00:16:6c:ab:6b:88,126,377812,377.812,1236,66,0.372,24,4,IoT
00:16:6c:ab:6b:88,127,340998,340.998,1236,66,0.416,23,9,IoT
00:16:6c:ab:6b:88,128,374082,374.082,1236,66,0.36,23,6,IoT
00:16:6c:ab:6b:88,129,371862,371.862,1236,66,0.376,25,6,IoT
00:16:6c:ab:6b:88,130,360892,360.892,1236,66,0.412,28,7,IoT
00:16:6c:ab:6b:88,131,350723,350.723,1236,66,0.401,23,9,IoT
00:16:6c:ab:6b:88,132,354885,354.885,1236,66,0.407,26,8,IoT
